(is-green block4, holding block4)
(on-top-of block4 block0, holding block4)
(on-top-of block0 block4, holding block4)
(on-top-of block4 block1, holding block4)
(on-top-of block1 block4, holding block4)
(on-top-of block4 table, holding block4)
(on-top-of table block4, holding block4)
(on-top-of block4 block3, holding block4)
(on-top-of block3 block4, holding block4)
(on-top-of block2 block4, holding block4)
(on-top-of block4 block2, holding block4)
(on-top-of block5 block4, holding block4)
(on-top-of block4 block5, holding block4)
(on-top-of block6 block4, holding block4)
(on-top-of block4 block6, holding block4)
(on-top-of block7 block4, holding block4)
(on-top-of block4 block7, holding block4)
(is-red block3, holding block3)
(on-top-of block3 block0, holding block3)
(on-top-of block0 block3, holding block3)
(on-top-of block3 block1, holding block3)
(on-top-of block1 block3, holding block3)
(on-top-of block3 table, holding block3)
(on-top-of table block3, holding block3)
(on-top-of block4 block3, holding block3)
(on-top-of block3 block4, holding block3)
(on-top-of block2 block3, holding block3)
(on-top-of block3 block2, holding block3)
(on-top-of block5 block3, holding block3)
(on-top-of block3 block5, holding block3)
(on-top-of block6 block3, holding block3)
(on-top-of block3 block6, holding block3)
(on-top-of block7 block3, holding block3)
(on-top-of block3 block7, holding block3)
