(at X1 Y1,at X1 Y1)
(at X1 Y2,at X1 Y1)
(at X1 Y3,at X1 Y1)
(at X1 Y4,at X1 Y1)
(at X1 Y5,at X1 Y5)
(at X1 Y6,at X1 Y5)
(at X1 Y7,at X1 Y5)
(at X1 Y8,at X1 Y5)
(at X2 Y1,at X2 Y1)
(at X2 Y2,at X2 Y1)
(at X2 Y3,at X2 Y1)
(at X2 Y4,at X2 Y1)
(at X2 Y5,at X2 Y5)
(at X2 Y6,at X2 Y5)
(at X2 Y7,at X2 Y5)
(at X2 Y8,at X2 Y5)
(at X3 Y1,at X3 Y1)
(at X3 Y2,at X3 Y1)
(at X3 Y3,at X3 Y1)
(at X3 Y4,at X3 Y1)
(at X3 Y5,at X3 Y5)
(at X3 Y6,at X3 Y5)
(at X3 Y7,at X3 Y5)
(at X3 Y8,at X3 Y5)
(at X4 Y1,at X4 Y1)
(at X4 Y2,at X4 Y1)
(at X4 Y3,at X4 Y1)
(at X4 Y4,at X4 Y1)
(at X4 Y5,at X4 Y5)
(at X4 Y6,at X4 Y5)
(at X4 Y7,at X4 Y5)
(at X4 Y8,at X4 Y5)
(at X5 Y1,at X5 Y1)
(at X5 Y2,at X5 Y1)
(at X5 Y3,at X5 Y1)
(at X5 Y4,at X5 Y1)
(at X5 Y5,at X5 Y5)
(at X5 Y6,at X5 Y5)
(at X5 Y7,at X5 Y5)
(at X5 Y8,at X5 Y5)
(at X6 Y1,at X6 Y1)
(at X6 Y2,at X6 Y1)
(at X6 Y3,at X6 Y1)
(at X6 Y4,at X6 Y1)
(at X6 Y5,at X6 Y5)
(at X6 Y6,at X6 Y5)
(at X6 Y7,at X6 Y5)
(at X6 Y8,at X6 Y5)
(at X7 Y1,at X7 Y1)
(at X7 Y2,at X7 Y1)
(at X7 Y3,at X7 Y1)
(at X7 Y4,at X7 Y1)
(at X7 Y5,at X7 Y5)
(at X7 Y6,at X7 Y5)
(at X7 Y7,at X7 Y5)
(at X7 Y8,at X7 Y5)
(at X8 Y1,at X8 Y1)
(at X8 Y2,at X8 Y1)
(at X8 Y3,at X8 Y1)
(at X8 Y4,at X8 Y1)
(at X8 Y5,at X8 Y5)
(at X8 Y6,at X8 Y5)
(at X8 Y7,at X8 Y5)
(at X8 Y8,at X8 Y5)
